"d [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainLHCP) []","dB(RealizedGainRHCP) []"
1.727,0.413,-180,282,-13.7797580580123,-16.2048502391964
1.727,0.413,-180,283,-13.6768988272838,-16.2476228169708
1.727,0.413,-180,284,-13.570804390097,-16.2942544603707
1.727,0.413,-180,285,-13.4612676995191,-16.3448133766526
1.727,0.413,-180,286,-13.3480928284475,-16.3993704862445
1.727,0.413,-180,287,-13.2310976891769,-16.4579994842091
1.727,0.413,-180,288,-13.1101167832831,-16.5207769183414
1.727,0.413,-180,289,-12.9850039165079,-16.5877822854467
1.727,0.413,-180,290,-12.855634808562,-16.6590981472418
1.727,0.413,-180,291,-12.7219095255497,-16.7348102672412
1.727,0.413,-180,292,-12.5837546634559,-16.8150077699218
1.727,0.413,-180,293,-12.4411252150577,-16.8997833234148
1.727,0.413,-180,294,-12.2940060597742,-16.9892333469409
1.727,0.413,-180,295,-12.1424130261598,-17.0834582441981
1.727,0.413,-180,296,-11.9863934895663,-17.1825626639216
1.727,0.413,-180,297,-11.8260264823294,-17.2866557888729
1.727,0.413,-180,298,-11.6614223098914,-17.3958516545755
1.727,0.413,-180,299,-11.4927216826725,-17.5102694992092
1.727,0.413,-180,300,-11.3200943893306,-17.6300341461975
1.727,0.413,-180,301,-11.1437375514438,-17.7552764211909
1.727,0.413,-180,302,-10.963873511866,-17.8861336053555
1.727,0.413,-180,303,-10.7807474184691,-18.0227499271375
1.727,0.413,-180,304,-10.594624571354,-18.1652770949953
1.727,0.413,-180,305,-10.4057876047515,-18.3138748739785
1.727,0.413,-180,306,-10.2145335748385,-18.4687117095036
1.727,0.413,-180,307,-10.0211710218604,-18.6299654022378
1.727,0.413,-180,308,-9.82601706969524,-18.7978238386724
1.727,0.413,-180,309,-9.62939461886506,-18.9724857827651
1.727,0.413,-180,310,-9.4316296805635,-19.1541617349745
1.727,0.413,-180,311,-9.23304889010138,-19.3430748661279
1.727,0.413,-180,312,-9.03397722880385,-19.5394620348834
1.727,0.413,-180,313,-8.83473597427951,-19.7435748991083
1.727,0.413,-180,314,-8.63564089049038,-19.9556811333418
1.727,0.413,-180,315,-8.4370006614474,-20.1760657666876
1.727,0.413,-180,316,-8.23911556581308,-20.4050326580702
1.727,0.413,-180,317,-8.04227638429151,-20.6429061288564
